id,Etapa,Sensor,Temperatura,hora,minuto,segundo,fecha_de_llegada
383,13,16,13.5,10,21,50,2025-08-08 10:23:39
384,13,17,14.1,10,21,50,2025-08-08 10:23:39
385,13,18,13.2,10,21,50,2025-08-08 10:23:39
386,13,19,14.6,10,21,50,2025-08-08 10:23:39
387,13,21,10.8,10,21,50,2025-08-08 10:23:39
388,14,10,13.1,10,22,5,2025-08-08 10:23:39
389,14,11,13.3,10,22,5,2025-08-08 10:23:39
390,14,12,12.7,10,22,5,2025-08-08 10:23:39
391,14,13,13.7,10,22,5,2025-08-08 10:23:39
392,14,14,13.3,10,22,5,2025-08-08 10:23:39
393,14,15,14.1,10,22,5,2025-08-08 10:23:39
394,14,16,13.1,10,22,5,2025-08-08 10:23:39
395,14,17,13.9,10,22,5,2025-08-08 10:23:39
396,14,18,12.8,10,22,5,2025-08-08 10:23:39
397,14,19,14.4,10,22,5,2025-08-08 10:23:39
398,14,21,10.2,10,22,5,2025-08-08 10:23:39
399,15,10,12.8,10,22,20,2025-08-08 10:23:39
400,15,11,12.9,10,22,20,2025-08-08 10:23:39
401,15,12,12.3,10,22,20,2025-08-08 10:23:39
402,15,13,13.4,10,22,20,2025-08-08 10:23:39
403,15,14,12.9,10,22,20,2025-08-08 10:23:39
404,15,15,13.8,10,22,20,2025-08-08 10:23:39
405,15,16,12.8,10,22,20,2025-08-08 10:23:39
406,15,17,13.7,10,22,20,2025-08-08 10:23:39
407,15,18,12.4,10,22,20,2025-08-08 10:23:39
408,15,19,14.1,10,22,20,2025-08-08 10:23:39
409,15,21,9.6,10,22,20,2025-08-08 10:23:39
410,16,10,12.4,10,22,35,2025-08-08 10:23:39
411,16,11,12.5,10,22,35,2025-08-08 10:23:39
412,16,12,11.9,10,22,35,2025-08-08 10:23:39
413,16,13,13.1,10,22,35,2025-08-08 10:23:39
414,16,14,12.6,10,22,35,2025-08-08 10:23:39
415,16,15,13.4,10,22,35,2025-08-08 10:23:39
416,16,16,12.4,10,22,35,2025-08-08 10:23:39
417,16,17,13.4,10,22,35,2025-08-08 10:23:39
418,16,18,12.1,10,22,35,2025-08-08 10:23:39
419,16,19,13.9,10,22,35,2025-08-08 10:23:39
420,16,21,9.1,10,22,35,2025-08-08 10:23:39
421,17,10,12.0,10,22,50,2025-08-08 10:23:39
422,17,11,12.1,10,22,50,2025-08-08 10:23:39
423,17,12,11.5,10,22,50,2025-08-08 10:23:39
424,17,13,12.8,10,22,50,2025-08-08 10:23:39
425,17,14,12.2,10,22,50,2025-08-08 10:23:39
426,17,15,13.1,10,22,50,2025-08-08 10:23:39
427,17,16,12.1,10,22,50,2025-08-08 10:23:39
428,17,17,13.2,10,22,50,2025-08-08 10:23:39
429,17,18,11.7,10,22,50,2025-08-08 10:23:39
430,17,19,13.6,10,22,50,2025-08-08 10:23:39
431,17,21,8.6,10,22,50,2025-08-08 10:23:39
432,18,10,11.6,10,23,5,2025-08-08 10:23:39
433,18,11,11.8,10,23,5,2025-08-08 10:23:39
434,18,12,11.1,10,23,5,2025-08-08 10:23:39
435,18,13,12.4,10,23,5,2025-08-08 10:23:39
436,18,14,11.9,10,23,5,2025-08-08 10:23:39
437,18,15,12.8,10,23,5,2025-08-08 10:23:39
438,18,16,11.8,10,23,5,2025-08-08 10:23:39
439,18,17,12.9,10,23,5,2025-08-08 10:23:39
440,18,18,11.3,10,23,5,2025-08-08 10:23:39
441,18,19,13.3,10,23,5,2025-08-08 10:23:39
442,18,21,8.1,10,23,5,2025-08-08 10:23:39
443,19,10,11.3,10,23,20,2025-08-08 10:23:39
444,19,11,11.4,10,23,20,2025-08-08 10:23:39
445,19,12,10.7,10,23,20,2025-08-08 10:23:39
446,19,13,12.1,10,23,20,2025-08-08 10:23:39
447,19,14,11.4,10,23,20,2025-08-08 10:23:39
448,19,15,12.4,10,23,20,2025-08-08 10:23:39
449,19,16,11.4,10,23,20,2025-08-08 10:23:39
450,19,17,12.6,10,23,20,2025-08-08 10:23:39
451,19,18,10.9,10,23,20,2025-08-08 10:23:39
452,19,19,13.0,10,23,20,2025-08-08 10:23:39
453,19,21,7.7,10,23,20,2025-08-08 10:23:39
454,20,10,10.9,10,23,35,2025-08-08 10:23:39
455,20,11,11.0,10,23,35,2025-08-08 10:23:39
456,20,12,10.3,10,23,35,2025-08-08 10:23:39
457,20,13,11.7,10,23,35,2025-08-08 10:23:39
458,20,14,11.1,10,23,35,2025-08-08 10:23:39
459,20,15,12.0,10,23,35,2025-08-08 10:23:39
460,20,16,11.0,10,23,35,2025-08-08 10:23:39
461,20,17,12.4,10,23,35,2025-08-08 10:23:39
462,20,18,10.5,10,23,35,2025-08-08 10:23:39
463,20,19,12.8,10,23,35,2025-08-08 10:23:39
464,20,21,7.4,10,23,35,2025-08-08 10:23:39
465,1,10,10.6,10,23,50,2025-08-08 10:28:41
466,1,11,10.7,10,23,50,2025-08-08 10:28:41
467,1,12,9.9,10,23,50,2025-08-08 10:28:41
468,1,13,11.4,10,23,50,2025-08-08 10:28:41
469,1,14,10.7,10,23,50,2025-08-08 10:28:41
470,1,15,11.7,10,23,50,2025-08-08 10:28:41
471,1,16,10.7,10,23,50,2025-08-08 10:28:41
472,1,17,12.1,10,23,50,2025-08-08 10:28:41
473,1,18,10.1,10,23,50,2025-08-08 10:28:41
474,1,19,12.4,10,23,50,2025-08-08 10:28:41
